BRAND,Aug_5,Aug_6,Aug_7,Aug_8,Aug_9
Korean 1,꽃게된장찌개,꼬치어묵버섯전골,순두부찌개,사골우거지해장국,[말복] 복날엔 삼계탕
Korean 2,제육볶음,춘천닭갈비,레몬꽁치구이,돈육떡찜,[말복] 복날엔 삼계탕
탕맛기픈,묵은지돈육전골,묵은지돈육전골,묵은지돈육전골,묵은지돈육전골,[말복] 복날엔 삼계탕
탕맛기픈,대구지리,대구지리,대구지리,대구지리,[말복] 복날엔 삼계탕
가츠엔,카키아게소바,카키아게소바,카키아게소바,카키아게소바,카키아게소바
가츠엔,깐풍돈가스,깐풍돈가스,깐풍돈가스,깐풍돈가스,깐풍돈가스
Western,브라운치즈함박스테이크,브라운치즈함박스테이크,브라운치즈함박스테이크,브라운치즈함박스테이크,[특식] 로스트치킨
Western,치즈누룽지김치볶음밥,타코라이스,레몬향생선까스오므라이스,차슈볶음밥,[특식] 로스트치킨
Snap snack,델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B),델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B),델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B),델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B),델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B)
Snap snack,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥
Snap snack,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이
Snap snack,콤보A(떡볶이1/2+순대1/2) / 콤보B(떡볶이1/2+튀김1/2) / 콤보C(델라면+스팸말이1/2),콤보A(떡볶이1/2+순대1/2) / 콤보B(떡볶이1/2+튀김1/2) / 콤보C(델라면+스팸말이1/2),콤보A(떡볶이1/2+순대1/2) / 콤보B(떡볶이1/2+튀김1/2) / 콤보C(델라면+스팸말이1/2),콤보A(떡볶이1/2+순대1/2) / 콤보B(떡볶이1/2+튀김1/2) / 콤보C(델라면+스팸말이1/2),콤보A(떡볶이1/2+순대1/2) / 콤보B(떡볶이1/2+튀김1/2) / 콤보C(델라면+스팸말이1/2)
Snap snack,비빔만두,비빔만두,비빔만두,비빔만두,비빔만두
Snap snack,모듬튀김/순대,모듬튀김/순대,모듬튀김/순대,모듬튀김/순대,모듬튀김/순대
Take-out,참치채소죽,쇠고기채소죽,새우채소죽,닭죽,낙지김치죽
Take-out,유부초밥/콤보세트(유부초밥&샌드위치/유부초밥&샐러드/샌드위치&샐러드)/쌈밥,유부초밥/콤보세트(유부초밥&샌드위치/유부초밥&샐러드/샌드위치&샐러드)/쌈밥,유부초밥/콤보세트(유부초밥&샌드위치/유부초밥&샐러드/샌드위치&샐러드)/쌈밥,유부초밥/콤보세트(유부초밥&샌드위치/유부초밥&샐러드/샌드위치&샐러드)/쌈밥,유부초밥/콤보세트(유부초밥&샌드위치/유부초밥&샐러드/샌드위치&샐러드)/쌈밥
Take-out,제육컵밥,스팸컵밥,닭갈비컵밥,데리야끼불고기컵밥,참치마요컵밥
Take-out,불낙비빔밥,가츠동,쭈삼비빔밥,규동,제육비빔밥
Take-out, 에그&브로콜리감자샌드위치 ,블루베리포테이토샌드위치,베이컨에그샌드위치,본레스햄&치즈샌드위치,튜나클럽샌드위치
Take-out,똑똑해,가벼워,가뿐해,튼튼해,상콤해
Take-out,트윈애플,애플비트,망고애플,애플캐비지,레드캐비지파인
Take-out,딸기/말차콜라겐,뽕잎/블랙,사과/클래식,단호박/백년초콜라겐,바나나/귀리
Take-out,3종 선택 과일,4종 선택 과일,5종 선택 과일,6종 선택 과일,7종 선택 과일
Take-out,7종샐러드팩/단호박견과류꿀단지,8종샐러드팩/단호박견과류꿀단지,9종샐러드팩/단호박견과류꿀단지,10종샐러드팩/단호박견과류꿀단지,11종샐러드팩/단호박견과류꿀단지
Take-out,돼지불고기도시락,간장소스닭강정도시락,돈육피망잡채도시락,꿔바로우강정도시락,닭갈비도시락
Take-out,참치마요덮밥도시락,피자돈가스도시락,치즈함박스테이크 ,나시고랭도시락,언양식바싹불고기도시락
Take-out,닭가슴살토마토도시락,망고셀러리도시락,계란브로콜리도시락,롤치즈호두도시락,참치귀리도시락
고슬고슬비빈,열무보리비빔밥,열무보리비빔밥,열무보리비빔밥,열무보리비빔밥,[말복] 복날엔 삼계탕
고슬고슬비빈,주꾸미새싹비빔밥,주꾸미새싹비빔밥,주꾸미새싹비빔밥,주꾸미새싹비빔밥,[말복] 복날엔 삼계탕
Chef's Count,레인보우야채볼,단호박그라탕,레인보우야채볼,시금치프리타타,비어햄샌드위치
Chef's Count,현미해물볶음밥,버섯새싹낫토비빔밥,단호박카레라이스,오곡영양닭죽,감자보리비빔밥
싱푸차이나,사천자장면,사천자장면,사천자장면,사천자장면,사천자장면
싱푸차이나,부대짬뽕밥,부대짬뽕밥,부대짬뽕밥,부대짬뽕밥,부대짬뽕밥
우리미각면,물냉면,물냉면,물냉면,물냉면,[특식] 쟁반보쌈막국수
우리미각면,비빔밀면,비빔밀면,비빔밀면,비빔밀면,[특식] 쟁반보쌈막국수
나폴리폴리,아라비아따스파게티,아라비아따스파게티,아라비아따스파게티,아라비아따스파게티,아라비아따스파게티
나폴리폴리,고르곤졸라피자,고르곤졸라피자,고르곤졸라피자,고르곤졸라피자,고르곤졸라피자
아시안픽스,그린빈스고비커리&새우튀김,그린빈스고비커리&새우튀김,그린빈스고비커리&새우튀김,그린빈스고비커리&새우튀김,그린빈스고비커리&새우튀김
아시안픽스,칠리크랩볶음밥,칠리크랩볶음밥,칠리크랩볶음밥,칠리크랩볶음밥,칠리크랩볶음밥
