BRAND,8월 19일,8월 20일,8월 21일,8월 22일,8월 23일
Korean 1,전주콩나물국밥,사리곰탕,육개장,동태매운탕,다슬기된장찌개
Korean 2,제육볶음,로즈마리꽁치구이,짜글이오징어볶음&소면사리,숯불돈육볶음,수제닭살깐풍
탕맛기픈,나주곰탕,나주곰탕,나주곰탕,나주곰탕,[월드셰프열전] 제주식해장국
탕맛기픈,병천순대국밥,병천순대국밥,병천순대국밥,병천순대국밥,[월드셰프열전] 제주식해장국
가츠엔,오징어튀김메밀국수,오징어튀김메밀국수,오징어튀김메밀국수,오징어튀김메밀국수,오징어튀김메밀국수
가츠엔,칠리수제돈가스,칠리수제돈가스,칠리수제돈가스,칠리수제돈가스,칠리수제돈가스
Western,갈릭돈목살스테이크,갈릭돈목살스테이크,갈릭돈목살스테이크,갈릭돈목살스테이크,[월드셰프열전] 비프테키&스파나코리조라이스볼
Western,소시지김치볶음밥,비프퀘사디아,대패삼겹살볶음밥,날치알해물철판볶음밥,[월드셰프열전] 비프테키&스파나코리조라이스볼
Snap snack,델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B),델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B),델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B),델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B),델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B)
Snap snack,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥
Snap snack,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이
